"MatchNames";"GQNames";"DadaNames";"ID_2015";"PlateNumber";"DnaType";"SeqDepth";"Series";"TypeID";"Year";"Season";"Year_Season";"splitID";"num.splitID";"merge.names";"sample.name";"series";"year";"campaign";"julian.day";"sampling.date";"sample.type";"soil.type";"lat";"long";"km.hq";"flow.distance";"position";"depth";"depth.satellite";"profile.depth";"secchi";"width";"elevation";"elevation.gis";"flow.accumulation.max";"velocity.drifting.est";"velocity.drifting.calc";"discharge.daily.hq";"velocity.daily";"discharge.camp.hq";"velocity.camp";"velocity.stream";"discharge.calc";"Seepage.meters.Q";"strahler.stream.order";"slope";"distance.to.water.body";"distance.from.mouth";"catchment.area";"atm.pressure.ysi";"temp.water.ysi";"do.perc.ysi";"do.cor.perc.ysi";"do.conc.ysi";"cond.ysi";"ph.ysi";"alkalinity";"wind.max.kestrel";"wind.avg.kestrel";"temp.air.kestrel";"humidity.rel.kestrel";"pressure.atm.kestrel";"bact.abundance";"bact.abundance.se";"bact.production";"chla";"chla.se";"TP";"TP.se";"TN";"TN.se";"NH4";"NH4.se";"NOx";"NOx.se";"NO2";"NO2.se";"NO3";"NO3.se";"Fe";"DOC";"DOC.se";"DIC";"DIC.se";"lability";"lability.se";"photodegradability.conc";"photodegradability.perc";"C1";"C2";"C3";"C4";"C5";"C6";"CDOM";"pco2.headspace";"pco2.headspace.se";"pch4.headspace";"pch4.headspace.se";"pn2o.headspace";"pn2o.headspace.se";"flux.co2";"flux.ch4";"kco2.flux";"kch4.flux";"k600";"kch4.k600";"Rn";"Rn.se";"d13C.co2";"d13C.ch4";"d2H.h2o";"dO18.h2o";"dO17.h2o";"d13C.DOC";"d13C.DIC";"d13C.POM";"POM.N.perc";"POM.C.perc";"POC";"To.sort";"Comments";"sample.type.year";"soilorwater";"LibrarySize"
"L313D";"LR034";"LR034";"L313";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L313";"L313";"L";2015;1;167;"2015-06-16";"PRLake";NA;51.18194;-63.92686;NA;NA;NA;"0.72";NA;NA;NA;NA;NA;880;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;251.229502048903;0.005303904034;678.9;11.68;89.3;99.9898917751961;9.7;2;5.63;-11.8968252056703;NA;NA;NA;NA;NA;698500;1500;5.14018672310417;1.40482105263158;0.27202105263158;29.077682420145;3.35835209319697;0.271226;0.024992;NA;NA;NA;NA;NA;NA;NA;NA;407.615;3.55923215611412;0.00954502068079994;NA;NA;NA;NA;0.6664825466379;22.0757363253857;0.147966976757364;0.364487559214092;0.0998255758635146;0.134380903766336;0.120628844231996;0.108766948156699;1.72725;1172.10695298153;37.2864309839412;125.031360276466;2.4061542599716;NA;NA;NA;NA;NA;NA;NA;NA;158.789454864136;NA;-18.4871509291325;-69.9594721528435;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"heart shaped lake (isolated, upstream)";"PRLake";"Water";34654
"L314D";"LR035";"LR035";"L314";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L314";"L314";"L";2015;1;168;"2015-06-17";"PRLake";NA;51.17814;-63.92364;NA;NA;NA;"0.68";NA;NA;NA;NA;NA;864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;251.031712642905;0.006237078639;683;9.08;92.3;98.2629051634171;10.19;7;5.87;17.7925358116971;5;4.7;8.9;81.5;910.1;908500;2500;NA;0.872754716981132;0.0712452830188682;8.72195646750205;0.548302382562779;0.137151;0.020486;NA;NA;NA;NA;NA;NA;NA;NA;609.936;2.95683529536536;0.0328772934563635;NA;NA;NA;NA;NA;NA;0.147496392576351;0.348619722233283;0.0971946764881233;0.129214236340766;0.0938354965741128;0.0697723314960329;1.3818;1051.23455543639;7.83249857889314;278.49021902192;2.26650117924818;NA;NA;NA;NA;NA;NA;NA;NA;32.1060856231579;NA;-19.8963147090323;-65.2757919142254;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"headwater lake (1st chain lake, most upstream)";"PRLake";"Water";54900
"L315D";"LR036";"LR036";"L315";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L315";"L315";"L";2015;1;168;"2015-06-17";"PRLake";NA;51.18145;-63.89828;NA;NA;NA;"0.45";NA;NA;NA;NA;NA;652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;248.732574882565;0.006966256935;701.6;10.22;97.6;103.481172005478;10.73;9;5.98;38.4286358958261;1.6;1.3;13.1;76;934.7;610500;1500;NA;0.598988782856186;0.0268675707349741;7.35120051109512;1.23368036076623;0.128631;0.0213290000000001;NA;NA;NA;NA;NA;NA;NA;NA;241.679;3.91027680559975;0.0116661363876519;1.3691801887793;0.00318167356029379;NA;NA;NA;NA;0.183415015702698;0.454582529615803;0.14744507594515;0.138149563725631;0.121867870199133;0.0783849777265119;2.0727;1308.48478197768;81.2957999523899;51.5283958790209;10.0219704194939;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-20.5297874801226;-65.4266848408683;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"headwater lake (2nd chain lake)";"PRLake";"Water";32319
"L316D";"LR037";"LR037";"L316";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L316";"L316";"L";2015;1;168;"2015-06-17";"PRLake";NA;51.18873;-63.90278;NA;NA;NA;"0.5";NA;NA;NA;NA;NA;637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;247.806406829135;0.007539182739;703.1;11.3;97.7;104.990296475618;10.64;9;6.28;45.689456029643;4.2;2.9;15.2;60.2;936.8;544000;7000;5.180548726777;0.5664;0.0707999999999993;5.8433689590475;0.548302382562766;0.1444175;0.00107550000000001;NA;NA;NA;NA;NA;NA;NA;NA;154.59;3.58044331318273;0.0498462191112656;1.10722239898186;0.0127266942411577;NA;NA;NA;NA;0.178289559801678;0.414680450522255;0.121345355222903;0.135134717001729;0.112237963224608;0.170413120490429;1.8424;798.908403162028;44.8511296738202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-17.0753081912129;-66.301046533348;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"headwater lake (3rd chain lake,most downstream)";"PRLake";"Water";37803
"L317D";"LR038";"LR038";"L317";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L317";"L317";"L";2015;1;168;"2015-06-17";"PRLake";NA;51.18144;-63.92325;NA;NA;NA;"0.77";NA;NA;NA;NA;NA;887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;251.181491795589;0.006237078639;682.5;12.97;92.1;102.399830240688;9.7;5;5.71;3.94496289001061;3.3;2;15.1;41.4;909.1;804000;500;6.75608004341276;1.0738;0.2242;8.92756986096309;0.342688989101725;0.155955;0.000652;NA;NA;NA;NA;NA;NA;NA;NA;279.998;3.37257397391028;0.112419132463668;0.876020786933927;0.00530278926715282;NA;NA;NA;NA;0.168430270598434;0.399514999973825;0.114769248065924;0.120325925945646;0.100114073121142;0.0921432166405953;1.72725;935.484611547041;102.089887733324;319.0483970538;2.01363858965831;NA;NA;NA;NA;NA;NA;NA;NA;79.6617919198453;NA;-14.4841754813204;-58.304472186513;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;"small round lake (isolated, upstream)";"PRLake";"Water";40103
"L318D";"LR039";"LR039";"L318";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L318";"L318";"L";2015;1;168;"2015-06-17";"IslandLake";NA;50.22601;-63.91127;NA;NA;NA;"1";NA;NA;NA;NA;NA;13.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.0419904333217;0.005846447409;757.7;18.46;97.1;97.182565201331;9.09;246;7.62;2333.48932600716;3.2;2.4;12.8;55.4;1009.3;897000;47000;NA;3.10895294117647;0.360247058823529;10.2297880195497;0.548302382562779;0.3480545;0.0374524999999999;NA;NA;NA;NA;NA;NA;NA;NA;8.324;9.18602184749178;0.338848234171174;29.1250397709195;0.635274154205034;NA;NA;NA;NA;0.00477601429315813;0.0224425323046943;0.0146983516801617;0.00171176714247991;0.0102500458583712;0.0322054422268711;2.303;934.204479068422;82.2300034490627;947.168286939177;151.169651696528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;"island lake 1 (La Grande Ile)";"IslandLake";"Water";39712
"L319D";"LR040";"LR040";"L319";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L319";"L319";"L";2015;1;168;"2015-06-17";"IslandLake";NA;50.21503;-63.89979;NA;NA;NA;"0.8";NA;NA;NA;NA;NA;26.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.8119904333217;0.005559984507;757.4;18.19;103.8;104.237603562453;9.8;264;8.29;2633.8842561165;4.7;3.1;12;77.5;1008.7;643000;2000;NA;4.67320689655172;0.307206896551724;9.61294783916656;0.342688989101725;0.3015565;0.00930449999999999;NA;NA;NA;NA;NA;NA;NA;NA;27.504;11.0913140311804;0.145296425920076;31.3219853643016;0.267790857991184;NA;NA;NA;NA;0.524087093224146;0.712953746371592;0.18278670932333;0.215164386072981;0.257300421148598;0.205207206241723;3.4545;611.393332538614;41.238285492001;135.637018003136;6.09208788603181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-23.1019133422361;-58.9512058681679;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;"island lake 2 (La Grande Ile)";"IslandLake";"Water";20703
"L320D";"LR041";"LR041";"L320";1;"DNA";"Shallow";"Lake";"L";"2015";"spring";"2015_spring";"1_spring_DNA";1;"L320";"L320";"L";2015;1;168;"2015-06-17";"IslandLake";NA;50.21899;-63.82191;NA;NA;NA;"1.1000000000000001";NA;NA;NA;NA;NA;23.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19.0164566120033;0.005369009239;707.5;17.98;100.3;107.022723112844;9.44;53;8.1;9270.07268271119;7.2;5.9;13.1;67.1;1008.9;5311500;17500;NA;5.22675968992248;0.122573643410853;27.2271618789956;1.64490714768831;0.469599;0.007969;NA;NA;NA;NA;NA;NA;NA;NA;8.743;12.3814826598791;0.160674514794756;4.08155689892884;0.00371195248765496;NA;NA;NA;NA;0.601288335045084;1.0126653578272;0.199379681948477;0.312721104627499;0.194394745651524;0.260800429445017;6.33325;884.937440344088;60.5918885344012;345.848973197183;10.8436719911189;NA;NA;NA;NA;NA;NA;NA;NA;91.343175333735;NA;-18.4591937344502;-53.3083893237661;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;"island lake (Ile Quarry)";"IslandLake";"Water";45052
"LR01D";"LR006";"LR006";"LR01";1;"DNA";"Shallow";"LaRomaine";"RV";"2015";"spring";"2015_spring";"1_spring_DNA";1;"LR01";"LR01.1";"LR";2015;1;158;"2015-06-07";"River";NA;50.38165;-63.26705;50.777199;423.222801;"main";NA;2.7;NA;NA;112;18.29;NA;22923796;4;2.49625753898615;514.3;1.7;552.5;1.83;NA;NA;NA;NA;NA;NA;48.1412106213299;170.040155469569;760.8;4.94;112;110.615537360979;14.16;13;6.06;19.3431891934083;4.2;2.7;12.8;44;1014;545500;500;7.22105176362912;0.3835;0;19.1397017361947;1.23368036076628;0.179655;0.0216059999999999;NA;NA;NA;NA;NA;NA;NA;NA;327.269;5.9058785737231;0.0733483242317439;1.76571367384088;0.0224863475746741;-0.0304919535456156;0.00192167327071457;1.07501234416187;23.1865469573892;0.259111526343327;0.702080249489088;0.177597230030146;0.212925922381586;0.190060864668764;0.154083124055912;3.56965;1194.76305855075;NA;2.95845595451716;NA;NA;NA;369.053121368827;0.0284485249389679;7.141848684533;11.4769074367839;12.6053459247192;7.13533500888134;37.1589051298115;22.456783461475;-20.4563090355537;-66.8510615996546;-106.359702;-14.513334;NA;NA;NA;NA;NA;NA;NA;1;NA;"Downriver";"Water";53965
"LR03D";"LR007";"LR007";"LR03";1;"DNA";"Shallow";"LaRomaine";"RV";"2015";"spring";"2015_spring";"1_spring_DNA";1;"LR03";"LR03";"LR";2015;1;158;"2015-06-08";"River";NA;50.6206;-63.17048;81.603828;392.396172;NA;NA;1.6;NA;NA;202;82.05;NA;21623006;NA;NA;511.9;1.58;552.5;1.71;NA;NA;NA;NA;NA;NA;78.9407628695017;160.474069744692;753.9;4.13;78.7;79.3485836213145;10.28;14;5.88;12.0726787096475;1.4;1.4;16.5;47.9;1004;1173500;134500;9.47179809631668;0.26845;0.0383500000000003;17.7004079819675;0.0685377978195861;0.1969715;0.0171345;NA;NA;NA;NA;NA;NA;NA;NA;299.54;6.35935324981261;0.0503265874290872;1.19659492451012;0.00267694613983049;-0.0216599687191507;0.000919888846223649;1.02667295199351;22.0833143222156;0.248810284731831;0.708263303137798;0.204081753043666;0.191495539295862;0.202607009654844;0.156365806625908;3.33935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40.1337298472979;25.5698074376798;-23.2524572360945;-21.9584957466725;-107.260815;-14.651714;NA;-27.52;-18.22;NA;NA;NA;NA;14;NA;"Downriver";"Water";55173
