"sample_name","organism","isolation_source","collection_date","geographic_location","latitude_and_longitude","sample_description","replicate"
"BlankD","Blank metagenome","Blank","2016-08-05","Canada:Quebec","50.252049 N 63.604029 W","DNA",1
"HW24D","Hyporheicwater metagenome","Hyporheicwater","2016-06-10","Canada:Quebec","51.21285 N 63.92264 W","DNA",1
"HW24R","Hyporheicwater metagenome","Hyporheicwater","2016-06-10","Canada:Quebec","51.21285 N 63.92264 W","cDNA",1
"HW25D","Hyporheicwater metagenome","Hyporheicwater","2016-06-10","Canada:Quebec","51.20954 N 63.42093 W","DNA",1
"HW25R","Hyporheicwater metagenome","Hyporheicwater","2016-06-10","Canada:Quebec","51.20954 N 63.42093 W","cDNA",1
"HW26D","Hyporheicwater metagenome","Hyporheicwater","2016-06-11","Canada:Quebec","51.36657 N 63.87721 W","DNA",1
"HW26R","Hyporheicwater metagenome","Hyporheicwater","2016-06-11","Canada:Quebec","51.36657 N 63.87721 W","cDNA",1
"HW27D","Hyporheicwater metagenome","Hyporheicwater","2016-06-11","Canada:Quebec","51.36616 N 63.87573 W","DNA",1
"HW27R","Hyporheicwater metagenome","Hyporheicwater","2016-06-11","Canada:Quebec","51.36616 N 63.87573 W","cDNA",1
"HW28D","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","DNA",1
"HW28R","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","cDNA",1
"HW30D","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","DNA",1
"HW30R","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","cDNA",1
"HW31D","Hyporheicwater metagenome","Hyporheicwater","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","DNA",1
"HW31R","Hyporheicwater metagenome","Hyporheicwater","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","cDNA",1
"HW32D","Hyporheicwater metagenome","Hyporheicwater","2016-06-13","Canada:Quebec","51.30254 N 63.87091 W","DNA",1
"HW32R","Hyporheicwater metagenome","Hyporheicwater","2016-06-13","Canada:Quebec","51.30254 N 63.87091 W","cDNA",1
"HW33D","Hyporheicwater metagenome","Hyporheicwater","2016-08-04","Canada:Quebec","51.36618 N 63.87583 W","DNA",1
"HW34D","Hyporheicwater metagenome","Hyporheicwater","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","DNA",1
"HW34R","Hyporheicwater metagenome","Hyporheicwater","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","cDNA",1
"HW35D","Hyporheicwater metagenome","Hyporheicwater","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","DNA",1
"HW35R","Hyporheicwater metagenome","Hyporheicwater","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","cDNA",1
