"sample_name","organism","isolation_source","collection_date","geographic_location","latitude_and_longitude","sample_description"
"L313D","Pond metagenome","Pond","2015-06-16","Canada:Quebec","51.18194 N 63.92686 W","DNA"
"L314D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.17814 N 63.92364 W","DNA"
"L315D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.18145 N 63.89828 W","DNA"
"L316D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.18873 N 63.90278 W","DNA"
"L317D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.18144 N 63.92325 W","DNA"
"L318D","Lake metagenome","Lake","2015-06-17","Canada:Quebec","50.22601 N 63.91127 W","DNA"
"L319D","Lake metagenome","Lake","2015-06-17","Canada:Quebec","50.21503 N 63.89979 W","DNA"
"L320D","Lake metagenome","Lake","2015-06-17","Canada:Quebec","50.21899 N 63.82191 W","DNA"
"LR01D","River metagenome","River","2015-06-07","Canada:Quebec","50.38165 N 63.26705 W","DNA"
"LR03D","River metagenome","River","2015-06-08","Canada:Quebec","50.6206 N 63.17048 W","DNA"
"LR05D","River metagenome","River","2015-06-09","Canada:Quebec","50.53663 N 63.22217 W","DNA"
"LR06D","River metagenome","River","2015-06-10","Canada:Quebec","50.31046 N 63.6461 W","DNA"
"LR09D","River metagenome","River","2015-06-11","Canada:Quebec","51.15182 N 63.39905 W","DNA"
"LR10D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.27356 N 63.77532 W","DNA"
"LR12D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.35785 N 64.00396 W","DNA"
"LR13D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.05514 N 63.69982 W","DNA"
"LR14D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.09031 N 63.83427 W","DNA"
"LR15D","River metagenome","River","2015-06-15","Canada:Quebec","52.0642 N 63.84167 W","DNA"
"LR17D","River metagenome","River","2015-06-15","Canada:Quebec","51.78004 N 63.7155 W","DNA"
"LR18D","River metagenome","River","2015-06-16","Canada:Quebec","50.31445 N 63.54765 W","DNA"
"LR19D","River metagenome","River","2015-06-16","Canada:Quebec","51.70176 N 63.72171 W","DNA"
"LR20D","River metagenome","River","2015-06-16","Canada:Quebec","51.38239 N 63.5853 W","DNA"
"LRH04D","River metagenome","River","2015-06-12","Canada:Quebec","50.31684 N 63.30894 W","DNA"
"LRH07D","River metagenome","River","2015-06-12","Canada:Quebec","50.30083 N 63.81233 W","DNA"
"LRH08D","River metagenome","River","2015-06-12","Canada:Quebec","50.30064 N 63.81285 W","DNA"
"LRH09D","River metagenome","River","2015-06-12","Canada:Quebec","50.29303 N 63.811132 W","DNA"
"LRH10D","River metagenome","River","2015-06-12","Canada:Quebec","50.29588 N 63.804823 W","DNA"
"M01D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.28242 N 63.86163 W","DNA"
"M02D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.27224 N 63.85679 W","DNA"
"M03D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.2566 N 63.8327 W","DNA"
"M04D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.24688 N 63.78448 W","DNA"
"M05D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.24012 N 63.7585 W","DNA"
"M06D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.23954 N 63.72033 W","DNA"
"M07D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.21693 N 63.70586 W","DNA"
"M08D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.18846 N 63.69431 W","DNA"
"PR01D","Stream metagenome","Stream","2015-06-07","Canada:Quebec","51.368157 N 63.876955 W","DNA"
"PR03D","Stream metagenome","Stream","2015-06-08","Canada:Quebec","51.21028 N 63.92063 W","DNA"
"PR05D","Stream metagenome","Stream","2015-06-13","Canada:Quebec","51.20287 N 63.92476 W","DNA"
