"new.names";"old.names"
"BlankD_R1.fastq.gz";"Blank_R1.fastq.gz"
"BlankD_R2.fastq.gz";"Blank_R2.fastq.gz"
"HW24D_R1.fastq.gz";"HW24_R1.fastq.gz"
"HW24D_R2.fastq.gz";"HW24_R2.fastq.gz"
"HW24R_R1.fastq.gz";"HW24R_R1.fastq.gz"
"HW24R_R2.fastq.gz";"HW24R_R2.fastq.gz"
"HW25D_R1.fastq.gz";"HW25_R1.fastq.gz"
"HW25D_R2.fastq.gz";"HW25_R2.fastq.gz"
"HW25R_R1.fastq.gz";"HW25R_R1.fastq.gz"
"HW25R_R2.fastq.gz";"HW25R_R2.fastq.gz"
"HW26D_R1.fastq.gz";"HW26_R1.fastq.gz"
"HW26D_R2.fastq.gz";"HW26_R2.fastq.gz"
"HW26R_R1.fastq.gz";"HW26R_R1.fastq.gz"
"HW26R_R2.fastq.gz";"HW26R_R2.fastq.gz"
"HW27D_R1.fastq.gz";"HW27_R1.fastq.gz"
"HW27D_R2.fastq.gz";"HW27_R2.fastq.gz"
"HW27R_R1.fastq.gz";"HW27R_R1.fastq.gz"
"HW27R_R2.fastq.gz";"HW27R_R2.fastq.gz"
"HW28D_R1.fastq.gz";"HW28D_R1.fastq.gz"
"HW28D_R2.fastq.gz";"HW28D_R2.fastq.gz"
"HW28R_R1.fastq.gz";"HW28R_R1.fastq.gz"
"HW28R_R2.fastq.gz";"HW28R_R2.fastq.gz"
"HW30D_R1.fastq.gz";"HW30D_R1.fastq.gz"
"HW30D_R2.fastq.gz";"HW30D_R2.fastq.gz"
"HW30R_R1.fastq.gz";"HW30R_R1.fastq.gz"
"HW30R_R2.fastq.gz";"HW30R_R2.fastq.gz"
"HW31D_R1.fastq.gz";"HW31D_R1.fastq.gz"
"HW31D_R2.fastq.gz";"HW31D_R2.fastq.gz"
"HW31R_R1.fastq.gz";"HW31R_R1.fastq.gz"
"HW31R_R2.fastq.gz";"HW31R_R2.fastq.gz"
"HW32D_R1.fastq.gz";"HW32_R1.fastq.gz"
"HW32D_R2.fastq.gz";"HW32_R2.fastq.gz"
"HW32R_R1.fastq.gz";"HW32R_R1.fastq.gz"
"HW32R_R2.fastq.gz";"HW32R_R2.fastq.gz"
"HW33D_R1.fastq.gz";"HW33_R1.fastq.gz"
"HW33D_R2.fastq.gz";"HW33_R2.fastq.gz"
"HW34D_R1.fastq.gz";"HW34_R1.fastq.gz"
"HW34D_R2.fastq.gz";"HW34_R2.fastq.gz"
"HW34R_R1.fastq.gz";"HW34R_R1.fastq.gz"
"HW34R_R2.fastq.gz";"HW34R_R2.fastq.gz"
"HW35D_R1.fastq.gz";"HW35_R1.fastq.gz"
"HW35D_R2.fastq.gz";"HW35_R2.fastq.gz"
"HW35R_R1.fastq.gz";"HW35R_R1.fastq.gz"
"HW35R_R2.fastq.gz";"HW35R_R2.fastq.gz"
"HW36D_R1.fastq.gz";"HW36_R1.fastq.gz"
"HW36D_R2.fastq.gz";"HW36_R2.fastq.gz"
